Created,Recipe,All Ingredients Needed,Star Rating,Meal Type,Sell Price,Energy Restore,Realm,Remy's Realm,Fruit,Grains,Dairy,Fish,Protein,Seafood,Herbs/ Spices,Sweet,Vegetable,Ice,Total in Stock
FALSE,"""My Hero"" Cookie","Wheat, Butter, Vanilla",3,Dessert,295,679,Base Game,FALSE,--,--,Butter,--,--,--,--,Vanilla,Bamboo,--,
FALSE,Apple Cider Glazed Salmon,"Salmon, Apples, Sugarcane",3,Entree,271,1572,Base Game,FALSE,Apples,--,--,Salmon,--,--,--,Sugarcane,--,--,
FALSE,Apple Pie,"Wheat, Butter, Apples",3,Dessert,303,1137,Base Game,TRUE,Apples,Wheat,Butter,--,--,--,--,--,--,--,
FALSE,Apple Sorbet,"Slush Ice, Apples, Sugarcane",3,Dessert,271,1077,Base Game,FALSE,Apples,--,--,--,--,--,--,--,--,Slush Ice,
FALSE,Arendellian Pickled Herring,"Herring, Lemon, Onion, Garlic, Any Herb",5,Appetizer,556,2102,Base Game,FALSE,Lemon,--,--,Herring,--,--,"Any Herb, Garlic",--,Onion,--,
FALSE,Aurora's Cake,"Raspberry, Wheat, Sugarcane, Egg, Milk",5,Dessert,786,2030,Base Game,FALSE,Raspberry,Wheat,"Egg, Milk",--,--,--,--,Sugarcane,--,--,
FALSE,Baked Carp,"Carp, Butter",2,Entree,767,1894,Base Game,FALSE,--,--,Butter,Carp,--,--,--,--,--,--,
FALSE,Banana Ice Cream,"Slush Ice, Banana, Milk, Sugarcane",4,Dessert,641,1884,Base Game,FALSE,--,--,Milk,--,--,--,--,--,--,Slush Ice,
FALSE,Banana Pie,"Wheat, Butter, Banana",3,Dessert,308,1227,Base Game,TRUE,Banana,Wheat,Butter,--,--,--,--,--,--,--,
FALSE,Banana Split,"Slush Ice, Banana, Milk, Sugarcane, Any Sweet",5,Dessert,714,2074,Base Game,FALSE,--,--,Milk,Any Fish,--,--,--,"Any Sweet, Sugarcane",--,Slush Ice,
FALSE,Basil Omelet,"Basil, Egg, Cheese, Milk",4,Entree,982,2035,Base Game,TRUE,--,--,"Egg, Cheese",--,--,--,Basil,--,--,--,
FALSE,Beignets,"Egg, Wheat, Canola, Sugarcane",4,Dessert,524,912,Base Game,FALSE,--,Wheat,"Egg, Canola",--,--,--,--,Sugarcane,--,--,
